First Name,Last Name,Full Name,Sex,Season,Age,Placement,Starting Tribe,Difficulty
Natalia,Azoqa,Natalia Azoqa,F,37,25,16,Purple,H
Natalie,Cole,Natalie Cole,F,37,57,15,Purple,H
Lyrsa,Torres,Lyrsa Torres,F,37,36,14,Orange,H
Elizabeth,Olson,Elizabeth Olson,F,37,31,13,Orange,M
John,Hennigan,John Hennigan,M,37,38,12,Purple,M
Dan,Rengering,Dan Rengering,M,37,27,11,Purple,M
Alec,Merlino,Alec Merlino,M,37,24,10,Purple,M
Carl,Boudreaux,Carl Boudreaux,M,37,41,9,Orange,M
Gabby,Pascuzzi,Gabby Pascuzzi,F,37,25,8,Orange,E
Christian,Hubicki,Christian Hubicki,M,37,32,7,Orange,E
Davie,Rickenbacker,Davie Rickenbacker,M,37,30,6,Orange,E
Alison,Raybould,Alison Raybould,F,37,28,5,Purple,E
Kara,Kay,Kara Kay,F,37,30,4,Purple,E
Angelina,Keeley,Angelina Keeley,F,37,28,3,Purple,E
Mike,White,Mike White,M,37,47,2,Purple,E
Nick,Wilson,Nick Wilson,M,37,27,1,Orange,E
Reem,Daly,Reem Daly,F,38,46,18,Blue,E
Keith,Sowell,Keith Sowell,M,38,19,17,Blue,H
Aubry,Bracco,Aubry Bracco,F,38,32,16,Yellow,E
Wendy,Diaz,Wendy Diaz,F,38,25,15,Blue,E
Joe,Anglim,Joe Anglim,M,38,29,14,Yellow,E
Eric,Hafemann,Eric Hafemann,M,38,35,13,Yellow,H
Julia,Carter,Julia Carter,F,38,25,12,Yellow,H
David,Wright,David Wright,M,38,44,11,Blue,E
Kelley,Wentworth,Kelley Wentworth,F,38,31,10,Blue,E
Wardog,DaSilva,Wardog DaSilva,M,38,38,9,Blue,E
Ron,Clark,Ron Clark,M,38,46,8,Yellow,E
Aurora,McCreary,Aurora McCreary,F,38,32,7,Yellow,M
Victoria,Baamonde,Victoria Baamonde,F,38,23,6,Yellow,E
Lauren,O’Connell,Lauren O’Connell,F,38,21,5,Blue,E
Rick,Devens,Rick Devens,M,38,34,4,Blue,E
Julie,Rosenberg,Julie Rosenberg,F,38,46,3,Yellow,E
Gavin,Whitson,Gavin Whitson,M,38,23,2,Yellow,E
Chris,Underwood,Chris Underwood,M,38,25,1,Blue,E
Ronnie,Bardah,Ronnie Bardah,M,39,36,20,Orange,H
Molly,Byman,Molly Byman,F,39,28,19,Purple,H
Vince,Moua,Vince Moua,M,39,27,18,Orange,H
Chelsea,Walker,Chelsea Walker,F,39,27,17,Orange,H
Tom,Laidlaw,Tom Laidlaw,M,39,60,16,Orange,H
Jason,Linden,Jason Linden,M,39,32,15,Purple,M
Jack,Nichting,Jack Nichting,M,39,23,14,Purple,M
Kellee,Kim,Kellee Kim,F,39,29,13,Purple,E
Jamal,Shipman,Jamal Shipman,M,39,33,12,Purple,E
Aaron,Meredith,Aaron Meredith,M,39,36,11,Orange,M
Missy,Byrd,Missy Byrd,F,39,24,10,Orange,M
Elizabeth,Beisel,Elizabeth Beisel,M,39,26,9,Orange,M
Karishma,Patel,Karishma Patel,F,39,37,8,Orange,M
Elaine,Stott,Elaine Stott,F,39,41,7,Orange,E
Dan,Spilo,Dan Spilo,M,39,48,6,Purple,E
Janet,Carbin,Janet Carbin,F,39,59,5,Purple,E
Lauren,Beck,Lauren Beck,F,39,29,4,Purple,E
Noura,Salman,Noura Salman,F,39,36,3,Purple,E
Dean,Kowalski,Dean Kowalski,M,39,28,2,Orange,E
Tommy,Sheehan,Tommy Sheehan,M,39,26,1,Purple,E
Amber,Mariano,Amber Mariano,F,40,40,20,Red,E
